time,delay,data_value,
254,2021-07-07 13:19:55.465835,1249,
3,2021-07-07 13:19:55.467119,1284,
2,2021-07-07 13:19:55.514562,47443,
18,2021-07-07 13:19:55.515904,1342,
22,2021-07-07 13:19:55.517285,1381,
23,2021-07-07 13:19:55.564700,47415,
16,2021-07-07 13:19:55.565963,1263,
14,2021-07-07 13:19:55.567288,1325,
13,2021-07-07 13:19:55.614458,47170,
79,2021-07-07 13:19:55.616655,2197,
80,2021-07-07 13:19:55.617439,784,
78,2021-07-07 13:19:55.664685,47246,
235,2021-07-07 13:19:55.665732,1047,
232,2021-07-07 13:19:55.667507,1775,
233,2021-07-07 13:19:55.715061,47554,
23,2021-07-07 13:19:55.716197,1136,
23,2021-07-07 13:19:55.717146,949,
24,2021-07-07 13:19:55.764877,47731,
241,2021-07-07 13:19:55.765806,929,
244,2021-07-07 13:19:55.771976,6170,
246,2021-07-07 13:19:55.814628,42652,
6,2021-07-07 13:19:55.816082,1454,
6,2021-07-07 13:19:55.817824,1742,
6,2021-07-07 13:19:55.864490,46666,
222,2021-07-07 13:19:55.865721,1231,
222,2021-07-07 13:19:55.867293,1572,
221,2021-07-07 13:19:55.914512,47219,
6,2021-07-07 13:19:55.916035,1523,
7,2021-07-07 13:19:55.917611,1576,
6,2021-07-07 13:19:55.965154,47543,
8,2021-07-07 13:19:55.966323,1169,
8,2021-07-07 13:19:55.968145,1822,
8,2021-07-07 13:19:56.014820,46675,
228,2021-07-07 13:19:56.016391,1571,
235,2021-07-07 13:19:56.017866,1475,
241,2021-07-07 13:19:56.064719,46853,
29,2021-07-07 13:19:56.066302,1583,
25,2021-07-07 13:19:56.067673,1371,
30,2021-07-07 13:19:56.114536,46863,
1,2021-07-07 13:19:56.116153,1617,
3,2021-07-07 13:19:56.117605,1452,
2,2021-07-07 13:19:56.164417,46812,
60,2021-07-07 13:19:56.165727,1310,
56,2021-07-07 13:19:56.171922,6195,
52,2021-07-07 13:19:56.214347,42425,
199,2021-07-07 13:19:56.215734,1387,
198,2021-07-07 13:19:56.217084,1350,
198,2021-07-07 13:19:56.264303,47219,
227,2021-07-07 13:19:56.265620,1317,
226,2021-07-07 13:19:56.267200,1580,
226,2021-07-07 13:19:56.314362,47162,
24,2021-07-07 13:19:56.315668,1306,
24,2021-07-07 13:19:56.316940,1272,
25,2021-07-07 13:19:56.364317,47377,
203,2021-07-07 13:19:56.365596,1279,
209,2021-07-07 13:19:56.366867,1271,
217,2021-07-07 13:19:56.414365,47498,
62,2021-07-07 13:19:56.415720,1355,
64,2021-07-07 13:19:56.417133,1413,
66,2021-07-07 13:19:56.464367,47234,
2,2021-07-07 13:19:56.465690,1323,
2,2021-07-07 13:19:56.467177,1487,
1,2021-07-07 13:19:56.514422,47245,
73,2021-07-07 13:19:56.515811,1389,
61,2021-07-07 13:19:56.516899,1088,
50,2021-07-07 13:19:56.564251,47352,
233,2021-07-07 13:19:56.565790,1539,
249,2021-07-07 13:19:56.567096,1306,
7,2021-07-07 13:19:56.614326,47230,
206,2021-07-07 13:19:56.615745,1419,
224,2021-07-07 13:19:56.616991,1246,
231,2021-07-07 13:19:56.664243,47252,
242,2021-07-07 13:19:56.665672,1429,
11,2021-07-07 13:19:56.666924,1252,
255,2021-07-07 13:19:56.714302,47378,
228,2021-07-07 13:19:56.715898,1596,
